,FMID,MarketName,Website,Facebook,Twitter,Youtube,street,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Season1 Start Date,Season1 End Date,Season2 Start Date,Season2 End Date,Season3 Start Date,Season3 End Date,Season4 Start Date,Season4 End Date,Season1Time Mon,Season1Time Tue,Season1Time Wed,Season1Time Thu,Season1Time Fri,Season1Time Sat,Season1Time Sun,Season2Time Mon,Season2Time Tue,Season2Time Wed,Season2Time Thu,Season2Time Fri,Season2Time Sat,Season2Time Sun,Season3Time Mon,Season3Time Tue,Season3Time Wed,Season3Time Thu,Season3Time Fri,Season3Time Sat,Season3Time Sun,Season4Time Mon,Season4Time Tue,Season4Time Wed,Season4Time Thu,Season4Time Fri,Season4Time Sat,Season4Time Sun
15,1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,-75.17343100000001,39.940945,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 3:33:48 PM,06/01/2015,11/15/2015,,,,,,,,,,3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,
16,1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,,,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.66254,41.864269,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,6/29/2016 4:32:46 PM,06/07/2014,09/27/2014,,,,,,,,,,,,8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,
17,1018365,18th Street Farmers Market,,18th Street Farmers Market,,,825 18th Street,Charleston ,Coles,Illinois,61920,-88.162239,39.490715,Y,Y,N,Y,Y,,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/23/2017 8:02:15 AM,05/20/2017,09/30/2017,,,,,,,,,,,,8:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,
18,1012790,19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,NE 7th Ave,Chiefland,Levy,Florida,32626,-82.857872,29.484854,Y,N,N,N,N,,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,8/19/2016 4:07:34 PM,09/03/2016,06/24/2017,09/02/2017,06/30/2018,,,,,,,,,,8:30 AM-1:00 PM,,,,,,,8:30 AM-1:00 PM,,,,,,,,,,,,,,,
19,1012158,21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,13701 NE 171st Street,Woodinville,King,Washington,98072,-122.15699,47.750240000000005,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,6/30/2016 7:50:56 PM,01/01/2016,12/31/2016,,,,,,,,,11:00 AM-6:00 PM,11:00 AM-6:00 PM,11:00 AM-6:00 PM,11:00 AM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,
20,1010873,21st Street Farmers Market,,,,,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,-95.714516,39.028183,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,3/2/2015 10:46:33 AM,06/05/2015,10/30/2015,,,,,,,,,,,7:30 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,
21,1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.18129,39.932259,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:29:42 PM,06/01/2015,11/01/2015,,,,,,,,2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,-73.994354,40.404839,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,7/6/2016 2:37:36 PM,06/25/2016,11/05/2016,,,,,,,,,,,,8:30 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,
23,1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,475 East 2500 North,North Logan,Cache,Utah,84341,-111.8206,41.778244,Y,N,N,N,N,,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,4/18/2016 10:33:41 AM,05/07/2016,10/15/2016,,,,,,,,,,,,,9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,
24,1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,-75.172287,40.004093,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 3:17:20 PM,06/01/2015,11/15/2015,,,,,,,,,1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
25,1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19203900000001,39.937302,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:47:10 PM,06/01/2015,11/15/2015,,,,,,,,2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.18103,39.762592,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,7/26/2018 4:26:56 PM,01/01/2018,05/31/2018,06/01/2018,12/31/2018,,,,,,,,11:00 AM-3:00 PM,11:00 AM-3:00 PM,8:00 AM-3:00 PM,,,,,11:00 AM-3:00 PM,11:00 AM-3:00 PM,8:00 AM-3:00 PM,11:00 AM-3:00 PM,,,,,,,,,,,,,,
27,1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,-88.425186,41.356384000000006,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,7/26/2018 4:22:44 PM,05/12/2018,10/13/2018,11/09/2018,11/10/2018,,,,,,,,,,8:00 AM-2:00 PM,,,,,,4:00 PM-10:00 PM,10:00 AM-3:00 PM,,,,,,,,,,,,,,,
28,1010775,30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,-86.00275400000001,30.279016,Y,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,1/16/2015 6:38:15 PM,01/18/2015,01/05/2020,,,,,,,,,,,,,9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,
29,1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt,,1928 Pennington Road,Ewing,Mercer,New Jersey,08618,-74.783287,40.268253,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/12/2017 1:42:22 PM,06/11/2017,10/29/2017,,,,,,,,,,,,,10:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,
30,1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.327202,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/26/2018 4:47:21 PM,01/01/2013,12/31/2013,,,,,,,,,,,,7:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,
31,1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.187164,39.988803999999995,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:28:01 PM,06/01/2015,11/01/2015,,,,,,,,,,2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,
32,1018389,38th & Meridian Farmer's Market ,,,,,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,-86.157547,39.825558,Y,N,Y,N,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,6/26/2017 8:19:14 AM,06/01/2017,09/21/2017,,,,,,,,,,4:00 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,
33,1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,-119.75496000000001,39.534775,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,7/6/2016 5:19:49 PM,06/09/2016,08/18/2016,,,,,,,,,,4:00 PM-9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,
34,1019938,3rd Day Farmer's Market,http://www.3rddayfarm.com,facebook/ 3rd Day Farm,,,3234 S. LaChance Rd,Lake City,Missaukee,Michigan,49651,-85.29615,44.292953000000004,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,6/25/2020 11:53:13 AM,,,,,,,,,,10:00 AM-5:00 PM,10:00 AM-5:00 PM,10:00 AM-5:00 PM,10:00 AM-5:00 PM,10:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,
35,1011213,441 Ministries Farm Stand,,,,,441 Parsells Avenue,Rochester,Monroe,New York,14609,-77.56660500000001,43.165833,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/8/2015 9:22:25 AM,,,,,,,,,,3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,-75.138657,39.991749,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 3:11:40 PM,06/01/2015,11/22/2015,,,,,,,,1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,315 East 4th St.,Larimer,,Colorado,,-105.073,40.395401,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1006494,52 & Shadeland Avenue Farmers Market,,,,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,-86.0476,39.848099,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.22449499999999,39.965053999999995,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:38:14 PM,06/01/2015,11/15/2015,,,,,,,,,1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
40,1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.98584,40.768158,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 11:06:00 AM,04/20/2013,12/21/2013,,,,,,,,,8:00 AM-5:00 PM,,,8:00 AM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,
41,1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228302,39.935722,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 2:35:04 PM,06/01/2015,11/01/2015,,,,,,,,,2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
42,1018965,61st Street Farmers Market,https://experimentalstation.org/market,61market,61market,,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637,-87.590591,41.784081,Y,N,N,N,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,2/23/2018 4:18:31 PM,05/12/2018,12/15/2018,,,,,,,,,,,,9:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,
43,1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.781799,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:54:51 AM,01/01/2013,12/31/2013,,,,,,,,,,,,,8:00 AM-5:00 PM,,,,,,,,,,,,,,,,,,,,,
44,1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.950089,40.77375,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:50:27 AM,01/01/2013,12/31/2013,,,,,,,,,,,,9:00 AM-2:30 PM,,,,,,,,,,,,,,,,,,,,,,
45,1008391,84 west farmers market (Dothan),,,,,,Dothan,Houston,Alabama,,-85.44994399999999,31.232252000000003,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/15/2014 9:29:24 AM,06/06/2013,08/08/2013,,,,,,,,,,3:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,
46,1001961,8th Avenue City Farmers Market,,,,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.662651,41.972836,Y,Y,N,Y,N,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,4/25/2012 1:17:22 PM,05/01/2012 1:17:22 PM,10/01/2012 1:17:22 PM,,,,,,,,4:00 PM - 6:00 PM,,,,7:30 AM - 12:00 PM,,,,,,,,,,,,,,,,,,,,,,
47,1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.94641899999999,40.78093,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:43:59 AM,06/23/2013,11/24/2013,,,,,,,,,,,,,9:00 AM-4:00 PM,,,,,,,,,,,,,,,,,,,,,
48,1000064,97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,W 97 St. & Columbus,New York,New York,New York,10025,-73.96701,40.79356,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:39:55 AM,01/01/2013,12/31/2013,,,,,,,,,,,8:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,
49,1011989,9th and Grand Farmers Market,http://Farmtoforkks.com,,,,304 West Grand Avenue,Salina,Saline,Kansas,67401,-97.61174799999999,38.852837,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,5/28/2016 3:39:24 PM,05/10/2016,09/27/2016,,,,,,,,4:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
